Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2026-01-08 18:27:56,"Medaix ",39m,"Leg Press",1,120.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Leg Press",2,120.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Leg Extension (Machine)",1,60.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Leg Extension (Machine)",2,60.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Seated Row (Machine)",1,100.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Seated Row (Machine)",2,100.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Shoulder Press (Machine)",1,70.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Shoulder Press (Machine)",2,70.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Lat Pulldown (Machine)",1,100.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Lat Pulldown (Machine)",2,100.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Torso Rotation (Machine)",1,40.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Torso Rotation (Machine)",2,40.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Back Extension (Machine)",1,60.0,15.0,0,0.0,
2026-01-08 18:27:56,"Medaix ",39m,"Back Extension (Machine)",2,60.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2026-01-13 20:15:54,"Medaix ",30m,"Leg Press",1,120.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Leg Press",2,120.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Leg Extension (Machine)",1,60.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Leg Extension (Machine)",2,60.0,15.0,0,0.0,
